wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.45,0.0,0.55,0.5983293812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.45,0.05,0.5,0.5582189829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.45,0.1,0.45,0.518108584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.45,0.15,0.4,0.4779981863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.45,0.2,0.35,0.4378877880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.45,0.25,0.3,0.3977773897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.45,0.3,0.25,0.3576669914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.45,0.35,0.2,0.3175565931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.45,0.4,0.15,0.2774461948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.45,0.45,0.1,0.23733579659515847,0.05880710515631345,dRID:A0,-0.30000000000000004
0.45,0.5,0.05,0.19722539829757924,0.029403552578156723,dRID:A0,-0.30000000000000004
0.45,0.55,0.0,0.15711500000000003,0.0,dRID:A0,-0.30000000000000004
0.5,0.0,0.5,0.5542539829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.5,0.05,0.45,0.514143584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.5,0.1,0.4,0.4740331863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.5,0.15,0.35,0.4339227880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.5,0.2,0.3,0.3938123897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.5,0.25,0.25,0.3537019914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.5,0.3,0.2,0.31359159319031693,0.1176142103126269,dRID:AD,-0.4176142103126269
0.5,0.35,0.15,0.27348119489273764,0.08821065773447016,dRID:A0,-0.30000000000000004
0.5,0.4,0.1,0.23337079659515847,0.05880710515631345,dRID:A0,-0.30000000000000004
0.5,0.45,0.05,0.19326039829757924,0.029403552578156723,dRID:A0,-0.30000000000000004
0.5,0.5,0.0,0.15315,0.0,dRID:A0,-0.30000000000000004
0.55,0.0,0.45,0.510178584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.55,0.05,0.4,0.4700681863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.55,0.1,0.35,0.4299577880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.55,0.15,0.3,0.3898473897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.55,0.2,0.25,0.3497369914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.55,0.25,0.2,0.30962659319031693,0.1176142103126269,dRID:AD,-0.4176142103126269
0.55,0.3,0.15,0.26951619489273765,0.08821065773447016,dRID:A0,-0.30000000000000004
0.55,0.35,0.1,0.22940579659515847,0.05880710515631345,dRID:A0,-0.30000000000000004
